N_f;D_ni_d
2.4436335909482807e+21;6.752239804330477e-22
230229365286188.6;7.166766055011937e-15
2627177957553.7544;6.280503363907504e-13
38960694.88923846;4.2350374003615506e-08
3379378.2217872203;4.882554990034172e-07
2450473.3157985965;6.733393052526563e-07
249350.16586293155;3.3086001653333757e-06
137607.13676029094;5.995328581228564e-06
109466.62954801125;1.507308671887374e-05
22115.388478467314;3.7304341309819756e-05
15495.900417576582;0.00010647977565269131
7538.757373862928;0.00010943448092125857
6355.697880813175;0.0001298047854808426
3082.4692193163196;0.00026764257525432227
3014.0728175231056;0.0002737160148234128
2019.4001436626154;0.00040853716020029866
1455.7901855816315;0.0005667025428327009
1364.4429794253401;0.0012092846860445041
1246.6105590216482;0.0013235889813856027
850.5788941726411;0.0009699276641498123
838.950536526105;0.0019667428866930086
658.296846547193;0.0025064680298171726
574.307121055752;0.0028730272349170873
506.6097461374389;0.0032569448428107603
390.302948710488;0.004227485355802187
361.63507960052635;0.0022813052343022737
353.9054221915811;0.0023311312804735703
302.51591664548613;0.002727129233886907
285.8991228163252;0.005771266395455283
255.57332957299076;0.0032280363580127923
