time;VM;P11;P22;S
6.9;517.100757442;591.884891804;278.459157523;517.100757442
7.0;530.0875347;606.399378088;287.606279677;530.0875347
7.1;396.3802209;453.589942602;211.798693615;396.3802209
7.2;212.0269586;242.519180054;108.277007765;212.0269586
7.3;79.4100334482;89.1124252869;39.0544414603;79.4100334482
7.4;53.7871792364;48.0918186781;2.02455018935;53.7871792364
7.5;66.3591545381;54.7669940472;-4.2749616348;66.3591545381
7.6;63.9199730208;63.4144097732;14.5785047762;63.9199730208
7.7;95.976075036;107.32762403;49.0088057428;95.976075036
7.8;186.240697171;212.081143268;98.6940340815;186.240697171
7.9;284.872629133;324.448427188;155.333489541;284.872629133
8.0;332.488124753;379.062619935;181.744426657;332.488124753
8.1;315.525323136;360.712856844;168.452043787;315.525323136
8.2;277.646273795;317.870894728;143.45964792;277.646273795
8.3;262.503546081;300.360163832;136.539838825;262.503546081
8.4;267.450614026;305.063989714;144.086018123;267.450614026
8.5;265.432091074;302.209342419;144.40693697;265.432091074
8.6;246.310256256;281.053502201;131.630013519;246.310256256
8.7;219.892610179;250.835741677;116.790787983;219.892610179
8.8;195.404153661;221.443916372;105.917702713;195.404153661
8.9;168.941022716;189.706185683;91.6241987265;168.941022716
9.0;142.322242291;159.926896606;76.0294438238;142.322242291
9.1;143.880015078;163.321015957;75.3931644062;143.880015078
9.2;188.422004025;214.54781926;99.9916959512;188.422004025
9.3;239.816513487;272.080642937;131.376185482;239.816513487
9.4;240.119626024;270.929346923;132.798764548;240.119626024
9.5;168.639122931;188.537986743;91.4796087635;168.639122931
9.6;72.2406389849;77.223430066;31.8281913506;72.2406389849
9.7;35.3843988566;21.1476287547;-16.3852796684;35.3843988566
9.8;50.6330774565;27.0297629548;-27.7131080929;-50.6330774565
9.9;65.6025527836;54.2315625212;-4.13223689892;65.6025527836
10.0;84.3859996188;90.1353564476;37.8606156525;84.3859996188
10.1;160.775870448;183.263204437;83.1955327538;160.775870448
10.2;298.842800839;342.310505539;153.442978476;298.842800839
10.3;444.46029217;509.144568237;235.041155809;444.46029217
10.4;512.381849078;586.414767426;276.24307239;512.381849078
10.5;457.414149352;523.524757053;245.422931399;457.414149352
10.6;333.461297051;382.085336245;171.490328225;333.461297051
10.7;233.214535089;267.05236116;115.481327688;233.214535089
10.8;186.436183514;211.7825905;99.9718933885;186.436183514
10.9;152.838197653;165.341009174;78.0641245175;152.838197653
