sigma_a;sigma_re;epsilon_a;epsilon_re
3.845552600610911;3.8455526006109113;1.8312155241255157e-05;1.831215524125516e-05
7.799423642451256;26.21994649559624;3.7140112611073156e-05;0.00012485697868602213
28.111081359171408;66.71880620868075;0.00013386243633926282;0.00031775444624006525
152.97368723443512;228.6959303933608;0.0007400272550856739;0.001258083533617012
167.87689928990932;241.9775576279817;0.0008209372680224808;0.001398579024896252
240.3398098745093;307.3578070420656;0.0013798775406578625;0.002676813602285002
278.2345260744578;334.7538046768904;0.0019496855261202613;0.0037376604440676727
297.86706713079525;358.44972071141814;0.002402703215756921;0.0050888040429163724
314.76425160573126;363.1483004547231;0.0029207975648528946;0.005417915070742713
328.17042708256025;381.59500683217277;0.0034404564135130803;0.006949557572538812
354.3130209024023;395.7222576103488;0.004817269335825933;0.008424361135234287
369.89125768094834;412.09136887705836;0.005931357393573034;0.01053132363611384
380.99962937854235;418.27942043817615;0.006893572506107955;0.011455976383172837
387.97412740393787;426.4189828592495;0.007579734957201245;0.012792312412403252
395.6466412264306;431.64189543870225;0.008415674321842164;0.013727021713342575
398.29396774579527;432.99938623231486;0.008725223014686522;0.013980387260637484
402.1947680533;435.3232124083709;0.00920221106050471;0.014424420203762955
403.04020792469765;439.0361741194131;0.009308965486390127;0.015161620886662688
408.5802121426501;442.5912477010224;0.010039462173867107;0.015900554228682192
409.1725568915247;442.15910110855975;0.010120832643760508;0.01580896120579018
410.30564607608466;442.2593772633358;0.010278291586340926;0.015830170490308545
414.8622173967252;447.2239959555776;0.010936024374481256;0.016914133801862085
416.64199687956443;449.24581147604204;0.01120390839484311;0.017375095449104077
421.2731520274688;453.70311997843993;0.011931075510657752;0.018432867012092714
423.5681779474634;455.39297043268016;0.012308081007436262;0.01884925367067711
433.7540547935003;464.4862298423538;0.014123150375928189;0.02124268778374825
444.30749306860474;472.4819209206265;0.016269236889407318;0.02357416723583267
446.62918331275944;476.0985385258578;0.01678070409807971;0.024703450450628533
449.34448531951256;477.31017695766855;0.017397888868298208;0.025092635153703233
456.5152654129246;485.64672289262785;0.01913057796739426;0.02792453197039767
